gyroscope	 104.0Hz
cycle sample index,gyro X,gyro Y,gyro Z
392,4.311,-0.443,-161.958
393,1.165,0.117,-67.290
394,0.396,0.210,-37.163
395,1.398,0.559,-88.843
396,3.821,1.165,-201.359
397,3.775,2.167,-319.839
398,4.078,2.447,-364.692
399,2.353,1.794,-320.725
400,0.233,1.002,-224.589
401,3.052,0.979,-110.093
402,3.169,0.676,-48.138
403,2.004,0.256,-54.569
404,2.913,-0.117,-145.788
405,3.635,-0.419,-291.413
406,4.474,0.769,-397.032
407,3.658,3.309,-351.737
408,2.959,1.678,-208.232
409,2.633,-0.070,-72.300
410,0.606,-0.093,-16.310
411,-0.676,0.513,-56.106
412,0.047,1.188,-167.923
413,2.120,1.771,-309.797
414,3.355,1.887,-393.397
415,4.497,2.843,-370.913
416,4.613,3.122,-269.581
417,4.194,2.260,-128.919
418,2.470,0.862,-38.468
419,0.303,0.047,-36.348
420,1.025,0.606,-108.951
421,1.654,1.864,-226.895
422,4.753,3.495,-351.364
423,1.887,2.889,-382.889
424,8.341,-0.303,-287.312
425,3.448,0.140,-159.745
426,1.235,0.070,-51.167
427,0.210,0.000,-13.561
428,1.748,0.326,-72.696
429,3.845,1.142,-208.582
430,4.916,2.190,-343.116
431,4.707,2.074,-393.001
432,0.583,0.979,-356.374
433,-0.816,0.606,-241.668
434,2.074,0.769,-103.056
435,3.029,0.722,-32.154
436,-0.466,0.117,-45.412
437,2.353,0.839,-117.898
438,4.940,1.095,-241.458
439,5.266,1.095,-369.305
440,7.013,2.516,-375.992
441,0.513,3.332,-277.550
442,1.328,1.212,-152.126
443,0.350,0.326,-50.095
444,-0.070,0.070,-20.527
445,0.140,0.513,-88.983
446,1.794,1.305,-225.218
447,3.006,1.887,-340.180
448,6.128,3.402,-385.941
449,7.666,3.984,-345.795
450,5.196,2.959,-235.074
451,2.889,1.445,-112.353
452,0.117,0.047,-37.163
453,0.652,-0.070,-44.060
454,1.351,0.350,-116.453
455,2.004,1.468,-243.252
456,0.699,3.052,-356.047
457,6.314,1.608,-351.853
458,8.178,0.210,-272.424
459,3.309,0.629,-160.956
460,1.678,0.210,-58.227
461,0.955,0.070,-23.184
462,2.423,0.419,-81.410
463,4.730,1.072,-205.273
464,4.986,0.979,-336.499
465,0.419,-0.093,-404.441
466,-2.214,-0.047,-363.829
467,0.583,1.188,-232.604
468,1.654,0.885,-81.830
469,3.192,0.979,-28.659
470,0.862,0.536,-54.895
471,1.724,1.095,-136.701
472,6.244,1.887,-258.374
473,7.176,1.631,-336.172
474,1.515,3.192,-336.499
475,1.887,2.214,-275.196
476,0.792,1.212,-174.633
477,0.093,0.536,-86.303
