Packet Number,Data receive interval,Processing data time
158,0.0998985767364502,0.001402139663696289
159,0.10012578964233398,0.0018074512481689453
160,0.09981966018676758,0.0014717578887939453
161,0.1006476879119873,0.0015079975128173828
162,0.1997673511505127,0.0021457672119140625
163,0.10972380638122559,0.007888317108154297
164,0.10002446174621582,0.0015749931335449219
165,0.09050226211547852,0.0015163421630859375
166,0.10019087791442871,0.0031821727752685547
167,0.20038270950317383,0.004550933837890625
168,0.1095120906829834,0.0032300949096679688
169,0.15061569213867188,0.004114866256713867
170,0.039955854415893555,0.003548145294189453
171,0.10979366302490234,0.03274893760681152
172,0.1897592544555664,0.0031919479370117188
173,0.10067915916442871,0.003564596176147461
174,0.09940361976623535,0.003180980682373047
175,0.10022616386413574,0.004074811935424805
176,0.10009551048278809,0.004717111587524414
177,0.19976043701171875,0.0035789012908935547
178,0.10006070137023926,0.003383159637451172
179,0.0999748706817627,0.004589080810546875
180,0.09997844696044922,0.0035974979400634766
181,0.09969377517700195,0.0031697750091552734
182,0.2001361846923828,0.0038123130798339844
183,0.1001429557800293,0.0035080909729003906
184,0.10000967979431152,0.018466711044311523
185,0.1002199649810791,0.003081798553466797
186,0.09961748123168945,0.032121896743774414
187,0.2003617286682129,0.0028777122497558594
188,0.10032033920288086,0.004158735275268555
189,0.09975099563598633,0.0039730072021484375
190,0.10017633438110352,0.0064046382904052734
191,0.09942340850830078,0.0036084651947021484
192,0.2105083465576172,0.004751920700073242
193,0.08968353271484375,0.0034956932067871094
194,0.12042856216430664,0.0036313533782958984
195,0.09968948364257812,0.0037908554077148438
196,0.09012556076049805,0.00549006462097168
197,0.21973967552185059,0.004209995269775391
198,0.0703885555267334,0.0042552947998046875
199,0.10944938659667969,0.0031392574310302734
200,0.11924600601196289,0.0016138553619384766
201,0.07024240493774414,0.015182256698608398
202,0.22983217239379883,0.0015451908111572266
203,0.06985902786254883,0.0014123916625976562
204,0.10889506340026855,0.0015516281127929688
205,0.10112547874450684,0.009049654006958008
206,0.09008145332336426,0.0014758110046386719
207,0.20984625816345215,0.0016632080078125
208,0.09006357192993164,0.0014584064483642578
209,0.10114455223083496,0.0014643669128417969
210,0.09887099266052246,0.001859426498413086
211,0.09995317459106445,0.0014891624450683594
