accelerometer	 104.0Hz
cycle sample index,accel X,accel Y,accel Z
314,0.212,-0.448,1.007
315,-0.499,-0.197,0.979
316,-1.127,-0.031,0.975
317,-0.982,0.159,1.005
318,-0.084,0.413,1.020
319,0.241,0.441,1.016
320,-0.131,0.152,0.999
321,-0.013,-0.231,0.995
322,0.022,-0.413,0.997
323,-0.030,-0.435,1.018
324,-0.413,-0.331,1.065
325,-0.540,0.366,0.977
326,-0.216,0.628,0.989
327,0.186,0.728,1.002
328,0.120,0.374,1.020
329,0.174,0.648,1.017
330,-0.198,0.252,1.012
331,-0.124,-0.146,0.995
332,0.715,-0.333,0.999
333,1.117,-0.227,1.030
334,0.281,-0.546,1.019
335,-0.857,-0.133,0.998
336,-0.311,0.318,1.004
337,0.020,0.216,1.003
338,0.121,0.338,0.999
339,0.106,0.312,1.009
340,0.361,0.102,1.078
341,0.598,-0.390,1.009
342,0.056,-0.737,0.989
343,-0.792,-0.002,0.988
344,-0.009,-0.012,1.009
345,0.202,-0.502,1.015
346,0.270,-0.589,1.015
347,0.091,-0.376,1.005
348,-0.507,-0.359,0.976
349,-1.023,-0.147,0.983
350,-0.884,0.095,1.002
351,-0.246,0.483,1.017
352,-0.015,0.703,1.011
353,-0.025,0.466,1.000
354,0.032,0.050,1.002
355,0.080,-0.229,1.006
356,0.191,-0.645,1.026
357,-0.024,-0.774,1.054
358,-0.128,0.464,0.992
359,-0.437,0.578,0.982
360,-0.017,0.786,1.004
361,0.129,0.420,1.017
362,0.076,0.442,1.016
363,-0.153,0.138,1.006
364,0.020,-0.285,0.999
365,0.658,-0.283,1.002
366,0.862,-0.171,1.023
367,0.173,-0.510,1.017
368,-0.747,-0.171,1.001
369,-0.335,0.238,1.005
370,0.025,0.248,1.003
371,0.117,0.367,0.999
372,0.143,0.227,1.010
373,0.415,-0.095,1.085
374,0.493,-0.507,0.992
375,-0.168,-0.640,0.990
376,-0.702,0.194,0.991
377,0.021,0.124,1.010
378,0.212,-0.358,1.013
379,0.259,-0.484,1.014
380,0.058,-0.369,1.003
381,-0.384,-0.467,0.979
382,-0.733,-0.372,0.989
383,-0.756,-0.147,1.000
384,-0.225,0.565,1.023
385,-0.281,0.822,1.004
386,-0.138,0.545,0.995
387,-0.020,0.146,1.001
388,0.048,-0.159,1.005
389,0.234,-0.599,1.027
390,0.157,-0.915,1.056
391,-0.022,0.383,0.997
392,-0.477,0.565,0.977
393,-0.180,0.657,1.004
394,0.166,0.568,1.014
395,0.127,0.566,1.017
396,-0.123,0.163,1.007
397,-0.012,-0.265,1.000
398,0.622,-0.270,1.002
399,0.916,-0.144,1.025
400,0.363,-0.535,1.021
401,-0.656,-0.394,1.001
402,-0.490,0.106,1.004
403,0.026,0.230,1.004
404,0.130,0.265,0.999
405,0.084,0.142,1.010
406,0.193,0.174,1.082
407,0.069,-0.617,0.987
408,-0.136,-0.411,0.987
409,-0.391,0.315,0.998
410,0.040,0.068,1.010
411,0.162,-0.397,1.014
412,0.216,-0.401,1.014
413,0.019,-0.275,1.002
414,-0.386,-0.389,0.976
415,-0.678,-0.325,0.991
416,-0.647,-0.130,1.004
417,-0.110,0.630,1.025
418,-0.255,0.777,1.005
419,-0.113,0.311,1.001
420,-0.049,0.020,0.997
421,-0.018,-0.193,1.005
422,0.072,-0.506,1.040
423,0.020,-0.612,1.044
424,-0.017,0.529,0.980
425,-0.471,0.416,0.990
426,-0.069,0.529,1.006
427,0.093,0.413,1.014
428,0.146,0.692,1.016
429,-0.114,0.181,1.006
430,-0.005,0.093,0.998
431,0.539,0.153,0.998
432,1.102,-0.051,1.028
433,0.769,-0.508,1.035
434,-0.558,-0.738,0.994
435,-0.537,-0.089,1.006
436,0.164,-0.292,1.005
437,0.224,-0.343,1.003
438,0.062,-0.132,1.012
439,-0.505,0.700,1.063
440,-0.782,0.454,0.970
441,-0.283,-0.047,0.991
442,0.395,-0.155,1.010
443,0.063,-0.141,1.008
444,0.023,-0.407,1.009
445,0.180,-0.619,1.011
446,0.120,-0.522,1.006
447,-0.169,-0.680,0.983
448,-0.783,-0.392,0.976
449,-1.274,0.145,0.985
450,-1.056,0.646,1.011
451,-0.189,1.032,1.017
452,0.433,0.514,1.014
453,-0.110,0.239,1.003
454,-0.182,-0.016,0.997
455,-0.168,-0.157,1.015
456,0.124,-0.670,1.060
457,0.396,0.135,1.003
458,0.101,0.236,0.983
459,-0.383,0.159,0.996
460,-0.157,0.449,1.007
461,0.008,0.447,1.011
462,0.051,0.631,1.010
